table, masa
chair, sandalye
sofa, kanepe
bed, yatak
wardrobe, gardırop
lamp, lamba
mirror, ayna
rug, halı
clock, saat
oven, fırın
refrigerator, buzdolabı
microwave, mikrodalga fırın
dishwasher, bulaşık makinesi
washing machine, çamaşır makinesi
toaster, tost makinesi
kettle, su ısıtıcısı
coffeemaker, kahve makinesi
teapot, çaydanlık
cutlery, çatal
plate, tabak
glass, bardak
mug, kupa
bowl, kase
pot, tencere
pan, tava
cutting board, kesme tahtası
knife, bıçak
fork, çatal
spoon, kaşık
napkin, peçete
trash can, çöp kutusu
couch, kanepe
cushion, minder
blanket, battaniye
pillow, yastık
curtain, perde
shelf, raf
drawer, çekmece
toilet, tuvalet
sink, lavabo
shower, duş
bathtub, küvet
towel, havlu
toothbrush, diş fırçası
toothpaste, diş macunu
soap, sabun
shampoo, şampuan
conditioner, saç kremi
hairdryer, saç kurutma makinesi
iron, ütü
ironing board, ütü tahtası
vacuum cleaner, elektrikli süpürge
broom, süpürge
dustpan, faraş
bucket, kova
mop, paspas
detergent, deterjan
brush, fırça
gloves, eldiven
sponge, sünger
trash bag, çöp poşeti
recycling bin, geri dönüşüm kutusu
alarm clock, alarm saat
calendar, takvim
plant, bitki
vase, vazo
candle, mum
matches, kibrit
fireplace, şömine
television, televizyon
remote control, uzaktan kumanda
speaker, hoparlör
computer, bilgisayar
laptop, dizüstü bilgisayar
mouse, fare (bilgisayar)
keyboard, klavye
printer, yazıcı
scanner, tarayıcı
router, router
lampshade, abajur
cabinet, dolap
mirror, ayna
bookshelf, kitaplık
desk, masa (çalışma)
chair, sandalye (ofis)
file cabinet, dosya dolabı
telephone, telefon
cellphone, cep telefonu
headphones, kulaklık
camera, kamera
picture frame, resim çerçevesi
painting, tablo
sculpture, heykel
cushion, minder
blanket, battaniye
bedside table, komodin
lamp, lamba (masa lambası)
wardrobe, elbise dolabı
hanger, askı
umbrella, şemsiye
shoe rack, ayakkabılık
carpet, halı (büyük)
